open_time,open,high,low,close,volume
2023-03-12 06:00:00,1482.62,1677.81,1482.62,1542.05,53.0593
2023-03-12 07:00:00,1540.78,1555.06,1525.0,1552.3,42.4781
2023-03-12 08:00:00,1551.13,1555.18,1542.18,1546.7,20.3757
2023-03-12 09:00:00,1546.7,1547.51,1538.0,1539.9,182.267
2023-03-12 10:00:00,1538.0,1542.63,1535.42,1537.01,287.3319
2023-03-12 11:00:00,1536.0,1543.15,1525.0,1539.11,990.4698
2023-03-12 12:00:00,1538.95,1539.37,1529.0,1534.0,483.8716
2023-03-12 13:00:00,1534.38,1539.39,1529.0,1529.0,1004.134
2023-03-12 14:00:00,1529.0,1537.91,1525.0,1530.3,602.8701
2023-03-12 15:00:00,1532.45,1536.74,1531.0,1535.66,1267.1734
2023-03-12 16:00:00,1535.66,1544.16,1531.0,1544.16,371.0432
2023-03-12 17:00:00,1541.59,1596.69,1535.85,1589.17,634.6385
2023-03-12 18:00:00,1590.73,1613.98,1539.56,1606.12,499.8272
2023-03-12 19:00:00,1605.9,1614.62,1584.96,1588.28,777.963
2023-03-12 20:00:00,1588.28,1650.0,1588.13,1608.79,723.8422
2023-03-12 21:00:00,1607.27,1607.27,1594.49,1605.85,98.6939
2023-03-12 22:00:00,1599.83,1637.83,1590.93,1591.15,410.6823
2023-03-12 23:00:00,1595.18,1606.02,1586.7,1601.6,151.0753
2023-03-13 00:00:00,1605.09,1639.49,1596.86,1630.9,156.9994
2023-03-13 01:00:00,1632.02,1632.02,1611.43,1619.96,107.5135
2023-03-13 02:00:00,1620.32,1621.93,1600.66,1607.21,34.4355
2023-03-13 03:00:00,1605.87,1608.46,1605.48,1606.65,2434.7648
2023-03-13 04:00:00,1606.65,1622.42,1606.65,1613.24,896.2112
2023-03-13 05:00:00,1616.96,1640.0,1612.99,1620.38,148.4033
2023-03-13 06:00:00,1620.38,1627.7,1614.51,1621.1,63.145
2023-03-13 07:00:00,1622.02,1640.0,1617.03,1629.07,274.365
2023-03-13 08:00:00,1625.01,1645.67,1605.24,1606.92,199.7443
2023-03-13 09:00:00,1608.09,1613.55,1586.66,1594.35,206.594
2023-03-13 10:00:00,1592.36,1607.71,1587.75,1605.61,145.7685
2023-03-13 11:00:00,1605.65,1607.2,1597.29,1601.08,183.1262
2023-03-13 12:00:00,1602.31,1625.35,1590.01,1597.95,538.7378
2023-03-13 13:00:00,1600.13,1620.1,1592.76,1608.46,2420.0791
