open_time,open,high,low,close,volume
2023-03-12 06:30:00,1482.62,1677.81,1482.62,1535.55,5.4965
2023-03-12 06:45:00,1540.44,1546.07,1535.64,1542.05,47.5628
2023-03-12 07:00:00,1540.78,1545.57,1540.78,1544.73,8.0081
2023-03-12 07:15:00,1548.18,1550.62,1525.0,1544.56,5.8139
2023-03-12 07:30:00,1551.03,1554.19,1550.88,1550.88,14.033
2023-03-12 07:45:00,1550.88,1555.06,1544.56,1552.3,14.6231
2023-03-12 08:00:00,1551.13,1555.18,1549.14,1553.84,6.1642
2023-03-12 08:15:00,1554.69,1555.04,1548.18,1549.26,9.6041
2023-03-12 08:30:00,1548.79,1548.79,1542.18,1542.18,2.8749
2023-03-12 08:45:00,1544.47,1547.76,1542.72,1546.7,1.7325
2023-03-12 09:00:00,1546.7,1547.51,1542.19,1542.19,54.4469
2023-03-12 09:15:00,1542.19,1547.46,1541.6,1544.6,7.9543
2023-03-12 09:30:00,1544.2,1545.08,1539.8,1539.8,57.4054
2023-03-12 09:45:00,1539.93,1540.0,1538.0,1539.9,62.4604
2023-03-12 10:00:00,1538.0,1539.39,1537.18,1539.39,13.5373
2023-03-12 10:15:00,1539.35,1542.25,1535.42,1539.29,30.9728
2023-03-12 10:30:00,1539.47,1542.63,1536.26,1536.26,61.7842
2023-03-12 10:45:00,1536.84,1540.02,1535.57,1537.01,181.0376
2023-03-12 11:00:00,1536.0,1540.49,1525.0,1536.73,566.0974
2023-03-12 11:15:00,1535.01,1537.04,1531.2,1533.14,194.2353
2023-03-12 11:30:00,1534.6,1538.93,1530.0,1536.28,214.2786
2023-03-12 11:45:00,1536.21,1543.15,1534.69,1539.11,15.8585
2023-03-12 12:00:00,1538.95,1539.37,1529.0,1529.0,271.1229
2023-03-12 12:15:00,1530.74,1534.79,1530.0,1531.42,17.2819
2023-03-12 12:30:00,1530.23,1535.76,1529.0,1534.45,149.0065
2023-03-12 12:45:00,1535.0,1537.36,1533.24,1534.0,46.4603
2023-03-12 13:00:00,1534.38,1538.52,1532.39,1535.95,175.8511
2023-03-12 13:15:00,1536.49,1539.39,1531.79,1535.1,655.3603
2023-03-12 13:30:00,1529.0,1533.71,1529.0,1530.11,26.4938
2023-03-12 13:45:00,1530.03,1532.0,1529.0,1529.0,146.4288
2023-03-12 14:00:00,1529.0,1529.77,1525.0,1529.27,171.8788
2023-03-12 14:15:00,1529.04,1536.45,1528.55,1534.75,20.5234
2023-03-12 14:30:00,1534.99,1537.91,1533.39,1537.17,132.0783
2023-03-12 14:45:00,1535.49,1537.52,1530.28,1530.3,278.3896
2023-03-12 15:00:00,1532.45,1534.86,1531.0,1531.64,242.2002
2023-03-12 15:15:00,1532.94,1532.97,1531.0,1531.03,155.1251
2023-03-12 15:30:00,1531.0,1536.49,1531.0,1531.0,536.8977
2023-03-12 15:45:00,1531.0,1536.74,1531.0,1535.66,332.9504
2023-03-12 16:00:00,1535.66,1540.82,1531.0,1538.6,199.8414
2023-03-12 16:15:00,1536.56,1541.39,1535.71,1540.03,100.3554
2023-03-12 16:30:00,1538.27,1541.12,1536.73,1538.04,66.0968
2023-03-12 16:45:00,1539.0,1544.16,1538.04,1544.16,4.7496
2023-03-12 17:00:00,1541.59,1542.85,1540.18,1541.92,46.8046
2023-03-12 17:15:00,1542.74,1593.37,1535.85,1568.93,290.8539
2023-03-12 17:30:00,1573.68,1586.99,1563.26,1581.51,65.5287
2023-03-12 17:45:00,1578.2,1596.69,1552.38,1589.17,231.4513
2023-03-12 18:00:00,1590.73,1600.0,1583.78,1590.62,212.9333
2023-03-12 18:15:00,1593.56,1613.98,1539.56,1602.19,154.5203
2023-03-12 18:30:00,1606.8,1611.35,1600.0,1606.9,118.8375
2023-03-12 18:45:00,1604.03,1610.44,1593.21,1606.12,13.5361
2023-03-12 19:00:00,1605.9,1614.62,1605.0,1607.83,74.666
2023-03-12 19:15:00,1609.33,1613.26,1588.36,1595.0,650.7594
2023-03-12 19:30:00,1591.41,1593.79,1587.55,1592.24,29.3269
2023-03-12 19:45:00,1591.9,1593.65,1584.96,1588.28,23.2107
2023-03-12 20:00:00,1588.28,1593.11,1588.13,1590.0,392.9959
2023-03-12 20:15:00,1590.87,1600.63,1590.0,1600.63,217.3311
2023-03-12 20:30:00,1600.63,1650.0,1600.63,1603.73,85.0379
2023-03-12 20:45:00,1604.49,1608.79,1600.55,1608.79,28.4773
2023-03-12 21:00:00,1607.27,1607.27,1598.79,1598.86,4.4538
2023-03-12 21:15:00,1598.86,1600.0,1594.68,1594.68,51.3131
2023-03-12 21:30:00,1594.77,1603.04,1594.49,1596.29,32.514
2023-03-12 21:45:00,1595.34,1606.33,1595.28,1605.85,10.413
2023-03-12 22:00:00,1599.83,1603.36,1598.92,1602.38,11.2847
2023-03-12 22:15:00,1602.38,1637.83,1601.07,1615.59,72.0158
2023-03-12 22:30:00,1619.04,1624.11,1608.54,1609.15,30.49
2023-03-12 22:45:00,1606.93,1611.14,1590.93,1591.15,296.8918
2023-03-12 23:00:00,1595.18,1598.03,1586.7,1597.92,23.3182
2023-03-12 23:15:00,1595.03,1602.19,1591.28,1600.08,65.6079
2023-03-12 23:30:00,1596.85,1599.38,1589.81,1594.23,11.7784
2023-03-12 23:45:00,1598.9,1606.02,1594.23,1601.6,50.3708
2023-03-13 00:00:00,1605.09,1607.92,1596.86,1601.39,24.3546
2023-03-13 00:15:00,1601.68,1615.64,1601.68,1607.64,12.9965
2023-03-13 00:30:00,1613.76,1639.13,1606.72,1634.81,84.842
2023-03-13 00:45:00,1638.14,1639.49,1628.0,1630.9,34.8063
2023-03-13 01:00:00,1632.02,1632.02,1611.43,1625.04,48.6764
2023-03-13 01:15:00,1627.41,1627.41,1623.91,1627.4,26.4904
2023-03-13 01:30:00,1629.96,1629.96,1618.82,1623.14,23.4486
2023-03-13 01:45:00,1624.79,1624.79,1619.11,1619.96,8.8981
2023-03-13 02:00:00,1620.32,1621.93,1620.08,1620.15,5.5592
2023-03-13 02:15:00,1620.57,1620.64,1609.98,1609.98,9.2695
2023-03-13 02:30:00,1611.52,1614.82,1606.85,1606.85,6.9003
2023-03-13 02:45:00,1604.48,1608.91,1600.66,1607.21,12.7065
2023-03-13 03:00:00,1605.87,1607.46,1605.48,1607.03,10.3659
2023-03-13 03:15:00,1607.03,1607.03,1607.03,1607.03,0.0
2023-03-13 03:30:00,1605.55,1608.46,1605.55,1606.65,806.5867
2023-03-13 03:45:00,1606.65,1607.11,1606.65,1606.65,1617.8122
2023-03-13 04:00:00,1606.65,1610.92,1606.65,1610.92,661.8768
2023-03-13 04:15:00,1612.54,1622.42,1610.89,1616.47,57.6322
2023-03-13 04:30:00,1615.24,1617.57,1612.4,1615.49,44.1561
2023-03-13 04:45:00,1616.25,1619.23,1613.24,1613.24,132.5461
2023-03-13 05:00:00,1616.96,1616.96,1614.87,1614.87,15.5563
2023-03-13 05:15:00,1615.18,1617.62,1615.18,1615.76,16.485
2023-03-13 05:30:00,1614.75,1618.68,1612.99,1618.2,29.6797
2023-03-13 05:45:00,1618.68,1640.0,1618.2,1620.38,86.6823
2023-03-13 06:00:00,1620.38,1626.14,1616.04,1617.98,26.1182
2023-03-13 06:15:00,1617.97,1621.25,1616.0,1616.69,6.7939
2023-03-13 06:30:00,1616.82,1619.28,1614.51,1619.02,22.8307
2023-03-13 06:45:00,1618.9,1627.7,1618.26,1621.1,7.4022
2023-03-13 07:00:00,1622.02,1622.02,1617.03,1617.03,7.5597
2023-03-13 07:15:00,1623.45,1633.77,1622.01,1624.96,88.1223
2023-03-13 07:30:00,1628.72,1633.11,1626.88,1629.73,136.3442
2023-03-13 07:45:00,1631.97,1640.0,1625.0,1629.07,42.3388
2023-03-13 08:00:00,1625.01,1628.83,1619.69,1622.57,36.1906
2023-03-13 08:15:00,1620.67,1622.7,1617.18,1618.79,31.5851
